C5	523.25	47778.309	95556.617
D5	587.33	42565.508	85131.017
E5	659.26	37921.306	75842.611
F5	698.46	35793.030	71586.061
G5	783.99	31888.162	63776.324
A5	880	28409.091	56818.182
B5	987.77	25309.536	50619.071
C6	1046.5	23889.154	47778.309
D6	1174.7	21282.029	42564.059
E6	1318.5	18960.940	37921.881
F6	1396.9	17896.771	35793.543
G6	1568	15943.878	31887.755
